,Top-2 WM 2025,Top-4 National Ranking 2026,Total_Met
Amadou David Ndiaye,False,False,0
Andreas Haas,False,False,0
Cyril Bieri,False,False,0
Cédric Follador,False,False,0
Debora Annen,False,False,0
Dominik Hufschmid,False,False,0
Dominik Schläpfer,False,False,0
Enrico Güntert,False,False,0
Gregory Jones,False,False,0
Inola Blatty,False,False,0
Leandros Manganas,False,False,0
Livio Matossi,False,False,0
Luca Rolli,False,False,0
Mara Morell,False,False,0
Mario Aeberhard,False,False,0
Mathieu Hersperger,False,False,0
Melanie Hasler,False,False,0
Michael Vogt,False,False,0
Muswama Kambundji,False,False,0
Nadja Pasternack,False,False,0
Nicola Mariani,False,False,0
Omar Vögele,False,False,0
Pascal Moser,False,False,0
Quentin Juillard,False,False,0
Salomé Kora,False,False,0
Selina Isler,False,False,0
Selina Louise von Jackowski,False,False,0
Selina von Jackowski,False,False,0
Tim Annen,False,False,0
Timo Rohner,False,False,0
